date,open,high,low,close,adj_close,volume,source
2000-11-03,44.5,44.5,43.5625,43.6875,26.971284866333008,36600,yahoo
2000-11-06,43.9375,44.25,43.25,43.625,26.932701110839844,141800,yahoo
2000-11-07,43.625,44.1875,43.5,43.6875,26.971284866333008,49000,yahoo
2000-11-08,43.4375,43.75,43.4375,43.5,26.85553550720215,50200,yahoo
2000-11-09,43.375,44.5,42.75,44.25,27.318565368652344,91200,yahoo
2000-11-10,44.125,44.5,43.9375,44.125,27.24141502380371,15600,yahoo
2000-11-13,44.0,44.0,41.0,42.5,26.238168716430664,64900,yahoo
2000-11-14,42.25,43.75,42.25,43.375,26.77836036682129,41200,yahoo
2000-11-15,43.25,45.5,43.25,45.125,27.858783721923828,90700,yahoo
2000-11-16,45.0,47.9375,45.0,46.0,28.398969650268555,100100,yahoo
2000-11-17,46.25,46.75,46.0,46.5625,28.746252059936523,24300,yahoo
2000-11-20,46.4375,46.4375,44.1875,44.875,27.704425811767578,59200,yahoo
2000-11-21,43.25,43.25,39.75,41.75,25.775144577026367,237700,yahoo
2000-11-22,41.0,41.5,40.5625,41.5,25.620807647705078,41000,yahoo
2000-11-24,41.25,42.5,41.25,42.5,26.238168716430664,13400,yahoo
2000-11-27,43.0,43.375,42.5,43.125,26.624021530151367,49800,yahoo
2000-11-28,43.125,44.0,43.125,43.875,27.087059020996094,22400,yahoo
2000-11-29,44.125,44.125,43.375,44.0,27.16421890258789,86800,yahoo
2000-11-30,44.0,44.0,43.0,43.625,26.932701110839844,35800,yahoo
2000-12-01,43.625,44.375,43.625,43.8125,27.048465728759766,14000,yahoo
2000-12-04,43.75,44.0,42.75,42.75,26.392526626586914,36700,yahoo
2000-12-05,42.625,44.0,42.625,44.0,27.16421890258789,80000,yahoo
2000-12-06,44.25,47.125,44.25,45.0,27.781600952148438,30900,yahoo
2000-12-07,45.125,45.625,45.0,45.4375,28.051687240600586,31300,yahoo
2000-12-08,45.5,48.0,45.4375,47.5,29.325023651123047,31800,yahoo
2000-12-11,47.5,47.5,47.0,47.125,29.093503952026367,66200,yahoo
2000-12-12,47.0,47.375,45.0,45.0,27.781600952148438,31600,yahoo
2000-12-13,45.0625,45.375,44.75,44.75,27.62725257873535,102100,yahoo
2000-12-14,44.75,44.8125,44.125,44.25,27.318565368652344,34800,yahoo
2000-12-15,44.125,44.125,42.5,43.1875,26.66261863708496,87100,yahoo
2000-12-18,43.4375,45.75,43.4375,45.25,27.935935974121094,30200,yahoo
2000-12-19,45.0,45.25,43.4375,43.4375,26.816959381103516,83900,yahoo
2000-12-20,43.25,43.625,41.0,41.75,25.775144577026367,95100,yahoo
2000-12-21,41.75,41.9375,39.5,40.125,24.771928787231445,83300,yahoo
2000-12-22,40.125,40.125,37.625,38.5,23.768695831298828,101000,yahoo
2000-12-26,38.4375,39.3125,38.375,39.3125,24.270315170288086,31700,yahoo
2000-12-27,39.375,41.125,38.5625,41.125,25.389286041259766,82800,yahoo
2000-12-28,41.125,44.25,41.125,43.375,26.77836036682129,57300,yahoo
2000-12-29,43.4375,44.0,42.0,42.0,25.929487228393555,71700,yahoo
2001-01-02,42.25,42.5625,40.0,40.0,24.69474983215332,54000,yahoo
2001-01-03,39.75,40.125,39.25,39.8125,24.579002380371094,54000,yahoo
2001-01-04,40.0625,40.6875,39.375,39.375,24.30889320373535,65700,yahoo
2001-01-05,39.375,39.375,35.375,35.75,22.0709285736084,94500,yahoo
2001-01-08,36.0,37.1875,36.0,36.5,22.533958435058594,75800,yahoo
2001-01-09,36.875,37.0,36.3125,36.3125,22.418197631835938,17900,yahoo
2001-01-10,36.375,38.0,36.375,37.875,23.382837295532227,42500,yahoo
2001-01-11,37.625,38.75,36.625,36.625,22.611127853393555,53700,yahoo
2001-01-12,36.875,37.25,35.75,37.0,22.842647552490234,51800,yahoo
2001-01-16,37.5,38.0625,36.0625,38.0,23.460006713867188,116400,yahoo
2001-01-17,38.5,41.5,38.5,40.25,24.84909439086914,128800,yahoo
2001-01-18,40.25,40.5,40.0,40.375,24.926273345947266,67600,yahoo
2001-01-19,40.375,41.25,39.8125,39.8125,24.579002380371094,62200,yahoo
