date,open,high,low,close,volume,adj_close,source
2023-11-17,719.84,720.84,713.65,716.86,715619,716.86,alpha_vantage
2023-11-16,709.34,715.1,708.7501,714.9,559046,714.9,alpha_vantage
2023-11-15,698.17,711.32,697.7001,708.84,747461,708.84,alpha_vantage
2023-11-14,673.0,699.07,673.0,697.35,1011079,697.35,alpha_vantage
2023-11-13,660.82,664.37,658.1351,661.45,356389,661.45,alpha_vantage
2023-11-10,656.58,665.45,653.876,665.0,522796,665.0,alpha_vantage
2023-11-09,656.73,660.6,650.63,651.82,437166,651.82,alpha_vantage
2023-11-08,648.43,655.66,648.43,654.95,482206,654.95,alpha_vantage
2023-11-07,652.82,653.5,646.905,648.59,440812,648.59,alpha_vantage
2023-11-06,656.62,660.255,650.355,653.22,469385,653.22,alpha_vantage
2023-11-03,654.82,662.16,654.26,657.97,894281,657.97,alpha_vantage
2023-11-02,623.77,645.14,623.77,644.49,1174064,644.49,alpha_vantage
2023-11-01,614.49,617.97,607.67,616.21,537118,616.21,alpha_vantage
2023-10-31,608.95,612.87,604.41,612.28,508904,612.28,alpha_vantage
2023-10-30,602.84,610.6943,600.26,607.12,528143,607.12,alpha_vantage
2023-10-27,607.07,608.97,596.18,598.08,543055,598.08,alpha_vantage
2023-10-26,607.19,617.89,606.494,607.07,856531,607.07,alpha_vantage
2023-10-25,608.25,611.59,603.485,608.68,562157,608.68,alpha_vantage
2023-10-24,617.27,620.415,610.76,612.39,657313,612.39,alpha_vantage
2023-10-23,611.44,619.47,610.4541,614.73,469527,614.73,alpha_vantage
2023-10-20,623.25,626.07,613.12,614.83,850352,614.83,alpha_vantage
2023-10-19,625.65,629.5,619.105,622.51,1040825,622.51,alpha_vantage
2023-10-18,635.0,635.0,615.45,616.69,664518,616.69,alpha_vantage
2023-10-17,631.3,639.87,629.68,636.1,578584,636.1,alpha_vantage
2023-10-16,630.51,641.62,628.415,635.45,695481,635.45,alpha_vantage
2023-10-13,628.17,636.005,620.0,627.66,1263504,627.66,alpha_vantage
2023-10-12,643.23,644.2725,632.06,636.17,744225,636.17,alpha_vantage
2023-10-11,645.64,648.64,638.1,642.67,515129,642.67,alpha_vantage
2023-10-10,643.62,649.4,641.7,641.95,626684,641.95,alpha_vantage
2023-10-09,641.5,647.86,640.4957,643.62,536106,643.62,alpha_vantage
2023-10-06,635.02,651.51,634.54,648.26,608267,648.26,alpha_vantage
2023-10-05,633.65,642.87,632.01,640.3,496968,640.3,alpha_vantage
2023-10-04,629.03,638.365,625.38,636.53,546776,636.53,alpha_vantage
2023-10-03,637.73,637.73,623.6,625.47,678693,625.47,alpha_vantage
2023-10-02,644.71,646.25,638.735,643.04,569041,643.04,alpha_vantage
2023-09-29,652.8,656.82,645.5357,646.49,539891,646.49,alpha_vantage
2023-09-28,643.02,647.545,640.675,645.24,696070,645.24,alpha_vantage
2023-09-27,647.68,648.45,640.31,643.39,548762,643.39,alpha_vantage
2023-09-26,652.12,654.49,645.815,646.72,589068,646.72,alpha_vantage
2023-09-25,655.02,659.97,653.025,657.55,458269,657.55,alpha_vantage
2023-09-22,670.99,671.72,659.325,660.1,468469,660.1,alpha_vantage
2023-09-21,676.74,676.74,665.65,668.83,547702,668.83,alpha_vantage
2023-09-20,691.0,694.69,682.67,683.48,334069,683.48,alpha_vantage
2023-09-19,693.66,695.57,685.66,688.96,428147,688.96,alpha_vantage
2023-09-18,696.32,699.48,690.06,694.89,494419,694.89,alpha_vantage
2023-09-15,701.86,705.15,695.33,697.41,2816120,697.41,alpha_vantage
2023-09-14,703.71,709.06,698.33,706.81,660200,706.81,alpha_vantage
2023-09-13,698.84,704.215,693.995,697.23,645191,697.23,alpha_vantage
2023-09-12,693.35,702.73,692.075,697.34,404020,697.34,alpha_vantage
2023-09-11,695.46,697.95,691.99,695.93,563457,695.93,alpha_vantage
2023-09-08,692.18,693.55,686.72,690.62,352375,690.62,alpha_vantage
2023-09-07,682.68,692.65,679.95,691.06,453053,691.06,alpha_vantage
2023-09-06,692.96,699.32,688.6975,694.18,426749,694.18,alpha_vantage
2023-09-05,705.57,708.29,695.49,695.93,556823,695.93,alpha_vantage
2023-09-01,704.2,706.99,701.4,706.19,454556,706.19,alpha_vantage
2023-08-31,697.87,704.44,693.795,700.54,617091,700.54,alpha_vantage
2023-08-30,691.78,699.5,689.8085,695.81,483875,695.81,alpha_vantage
2023-08-29,678.65,691.46,676.55,691.03,502632,691.03,alpha_vantage
2023-08-28,681.31,683.5376,674.63,679.0,430854,679.0,alpha_vantage
2023-08-25,676.0,682.2,671.26,675.96,275208,675.96,alpha_vantage
2023-08-24,678.78,688.575,672.97,673.16,317924,673.16,alpha_vantage
2023-08-23,668.4,680.33,667.12,678.77,386777,678.77,alpha_vantage
2023-08-22,671.59,674.76,664.61,665.84,332468,665.84,alpha_vantage
2023-08-21,672.2,676.95,666.5,671.59,434376,671.59,alpha_vantage
2023-08-18,665.23,675.31,665.23,670.25,530594,670.25,alpha_vantage
2023-08-17,674.71,681.05,672.485,674.0,471181,674.0,alpha_vantage
2023-08-16,670.0,676.46,670.0,672.24,494696,672.24,alpha_vantage
2023-08-15,684.99,686.11,670.5,672.82,519757,672.82,alpha_vantage
2023-08-14,692.81,694.17,688.64,692.93,395005,692.93,alpha_vantage
2023-08-11,693.77,698.3,690.28,695.61,381151,695.61,alpha_vantage
2023-08-10,697.02,706.09,694.57,697.01,497116,697.01,alpha_vantage
2023-08-09,695.26,699.97,691.0,692.09,447475,692.09,alpha_vantage
2023-08-08,703.39,703.39,687.5243,696.98,676960,696.98,alpha_vantage
2023-08-07,713.31,718.83,711.64,712.55,388094,712.55,alpha_vantage
2023-08-04,710.07,720.9423,709.08,710.28,475126,710.28,alpha_vantage
2023-08-03,710.48,712.88,705.62,710.17,585544,710.17,alpha_vantage
2023-08-02,722.44,723.79,713.27,717.44,649193,717.44,alpha_vantage
2023-08-01,733.32,735.91,730.5,732.26,359816,732.26,alpha_vantage
2023-07-31,739.99,743.32,735.61,738.85,367759,738.85,alpha_vantage
2023-07-28,738.2,746.25,734.7789,738.34,522817,738.34,alpha_vantage
2023-07-27,746.12,747.99,728.4,729.07,555188,729.07,alpha_vantage
2023-07-26,743.25,749.87,741.01,743.16,552963,743.16,alpha_vantage
2023-07-25,752.55,752.98,742.205,746.02,610785,746.02,alpha_vantage
2023-07-24,751.7,757.01,750.49,756.58,385458,756.58,alpha_vantage
2023-07-21,753.24,756.32,749.745,751.21,512318,751.21,alpha_vantage
2023-07-20,744.02,753.37,742.5,750.88,621573,750.88,alpha_vantage
2023-07-19,739.96,752.95,739.96,747.3,718864,747.3,alpha_vantage
2023-07-18,725.52,740.83,723.23,738.93,790000,738.93,alpha_vantage
2023-07-17,724.55,733.0,720.5,727.87,648516,727.87,alpha_vantage
2023-07-14,743.0,744.0,722.41,728.03,1064180,728.03,alpha_vantage
2023-07-13,732.87,740.4,727.4501,739.8,928054,739.8,alpha_vantage
2023-07-12,722.67,727.0,718.86,726.0,642145,726.0,alpha_vantage
2023-07-11,699.92,710.99,699.74,710.2,504912,710.2,alpha_vantage
2023-07-10,693.83,704.9323,692.78,696.17,568635,696.17,alpha_vantage
2023-07-07,678.28,691.99,677.935,684.1,435212,684.1,alpha_vantage
2023-07-06,685.0,686.5,674.8025,680.63,675272,680.63,alpha_vantage
2023-07-05,691.67,700.63,685.87,692.83,681430,692.83,alpha_vantage
2023-07-03,690.0,702.16,689.74,693.58,376893,693.58,alpha_vantage
2023-06-30,695.12,695.98,690.45,691.14,921868,691.14,alpha_vantage
2023-06-29,686.7,690.91,681.98,688.21,524732,688.21,alpha_vantage
2023-06-28,684.64,685.77,680.12,685.22,368196,685.22,alpha_vantage
2023-06-27,683.43,688.34,677.76,684.64,528574,684.64,alpha_vantage
2023-06-26,678.08,684.99,678.08,680.17,404036,680.17,alpha_vantage
2023-06-23,670.35,682.93,670.0,680.45,685986,680.45,alpha_vantage
2023-06-22,684.41,684.51,675.37,679.38,361385,679.38,alpha_vantage
2023-06-21,690.72,696.15,686.4,689.04,489283,689.04,alpha_vantage
2023-06-20,695.69,696.455,687.5,690.95,698131,690.95,alpha_vantage
2023-06-16,715.45,716.355,702.35,702.78,1281867,702.78,alpha_vantage
2023-06-15,693.13,712.7372,691.82,711.19,644354,711.19,alpha_vantage
2023-06-14,690.72,705.17,690.03,692.45,678070,692.45,alpha_vantage
2023-06-13,685.33,693.09,685.0,689.09,624081,689.09,alpha_vantage
2023-06-12,684.61,689.12,682.26,682.38,435032,682.38,alpha_vantage
2023-06-09,682.39,686.45,677.27,684.4,465361,684.4,alpha_vantage
2023-06-08,675.32,681.9045,666.0101,680.58,521795,680.58,alpha_vantage
2023-06-07,679.0,680.03,670.1924,678.23,534152,678.23,alpha_vantage
2023-06-06,673.34,685.6149,673.34,684.92,748659,684.92,alpha_vantage
2023-06-05,681.45,682.96,674.22,676.49,551676,676.49,alpha_vantage
2023-06-02,676.17,685.0,676.17,681.86,559847,681.86,alpha_vantage
2023-06-01,663.57,671.45,660.37,668.84,569844,668.84,alpha_vantage
2023-05-31,671.8,674.61,656.36,657.55,1886133,657.55,alpha_vantage
2023-05-30,677.54,680.6908,668.89,673.58,504255,673.58,alpha_vantage
2023-05-26,664.88,675.2475,662.7685,672.3,533964,672.3,alpha_vantage
2023-05-25,655.32,663.12,653.4,660.52,522806,660.52,alpha_vantage
2023-05-24,653.01,656.51,648.45,655.0,554597,655.0,alpha_vantage
2023-05-23,666.52,671.97,659.2869,661.53,713252,661.53,alpha_vantage
2023-05-22,666.33,675.77,666.29,671.39,648841,671.39,alpha_vantage
2023-05-19,673.44,676.53,662.71,666.7,1362515,666.7,alpha_vantage
2023-05-18,650.57,673.17,649.46,669.33,1125882,669.33,alpha_vantage
2023-05-17,640.23,651.62,638.53,650.64,478328,650.64,alpha_vantage
2023-05-16,642.59,643.92,633.23,633.83,362714,633.83,alpha_vantage
2023-05-15,645.18,650.26,642.7,644.75,501887,644.75,alpha_vantage
2023-05-12,646.56,651.2,642.95,645.1,906160,645.1,alpha_vantage
2023-05-11,630.17,643.49,627.62,642.02,726097,642.02,alpha_vantage
2023-05-10,643.95,644.9511,624.5,629.18,622532,629.18,alpha_vantage
2023-05-09,639.0,643.49,633.63,635.57,441692,635.57,alpha_vantage
2023-05-08,646.25,647.0,640.78,643.14,374512,643.14,alpha_vantage
2023-05-05,642.19,644.66,637.55,644.48,484312,644.48,alpha_vantage
2023-05-04,638.55,638.55,628.2301,631.66,589364,631.66,alpha_vantage
2023-05-03,657.42,662.97,640.25,642.41,430726,642.41,alpha_vantage
2023-05-02,657.73,658.585,635.28,651.46,719727,651.46,alpha_vantage
2023-05-01,675.08,675.59,662.18,662.97,560197,662.97,alpha_vantage
2023-04-28,659.83,672.03,658.95,671.2,529088,671.2,alpha_vantage
2023-04-27,657.25,663.53,655.27,662.68,393937,662.68,alpha_vantage
2023-04-26,655.69,661.74,647.42,650.67,422309,650.67,alpha_vantage
2023-04-25,670.64,671.73,658.46,659.71,552376,659.71,alpha_vantage
2023-04-24,682.28,682.28,673.1,674.19,451863,674.19,alpha_vantage
2023-04-21,695.53,696.27,678.915,680.94,774571,680.94,alpha_vantage
2023-04-20,690.47,698.93,690.47,696.38,580374,696.38,alpha_vantage
2023-04-19,690.98,699.5,690.01,695.24,348118,695.24,alpha_vantage
2023-04-18,700.37,701.225,689.86,694.03,593867,694.03,alpha_vantage
2023-04-17,691.33,699.1,690.79,698.36,581254,698.36,alpha_vantage
2023-04-14,680.23,704.005,678.06,691.33,1117759,691.33,alpha_vantage
2023-04-13,663.37,671.58,658.53,670.73,694023,670.73,alpha_vantage
2023-04-12,676.15,677.64,663.36,665.97,481368,665.97,alpha_vantage
2023-04-11,662.0,671.44,661.85,669.68,535868,669.68,alpha_vantage
2023-04-10,652.35,659.83,650.7928,659.82,393846,659.82,alpha_vantage
2023-04-06,656.6,659.06,653.985,656.4,441769,656.4,alpha_vantage
2023-04-05,652.38,656.87,651.285,656.04,426144,656.04,alpha_vantage
2023-04-04,665.89,669.65,653.84,659.11,525148,659.11,alpha_vantage
2023-04-03,664.52,670.21,656.48,666.41,622790,666.41,alpha_vantage
2023-03-31,665.09,669.15,662.6128,669.12,516338,669.12,alpha_vantage
2023-03-30,663.51,667.615,657.095,661.04,392516,661.04,alpha_vantage
2023-03-29,652.03,657.74,651.0,657.22,589278,657.22,alpha_vantage
2023-03-28,646.34,649.9,641.38,646.24,373355,646.24,alpha_vantage
2023-03-27,654.53,656.77,646.475,648.32,411063,648.32,alpha_vantage
2023-03-24,642.81,647.82,638.085,644.88,574156,644.88,alpha_vantage
2023-03-23,653.28,660.99,645.55,651.78,483352,651.78,alpha_vantage
2023-03-22,660.08,667.45,647.89,648.32,480147,648.32,alpha_vantage
2023-03-21,659.93,665.18,658.54,662.15,791208,662.15,alpha_vantage
2023-03-20,647.47,652.44,639.53,643.56,924205,643.56,alpha_vantage
2023-03-17,638.71,638.71,623.85,636.71,2701514,636.71,alpha_vantage
2023-03-16,627.3,645.38,621.3,636.98,726336,636.98,alpha_vantage
2023-03-15,621.0,634.5,620.0,631.74,1129989,631.74,alpha_vantage
2023-03-14,646.41,648.0,624.71,637.83,928717,637.83,alpha_vantage
2023-03-13,625.02,643.23,624.09,625.77,997665,625.77,alpha_vantage
2023-03-10,647.7,651.46,628.48,635.03,961016,635.03,alpha_vantage
2023-03-09,674.49,675.2288,650.0,651.28,787204,651.28,alpha_vantage
2023-03-08,676.62,680.3308,672.65,674.36,555013,674.36,alpha_vantage
2023-03-07,688.39,688.98,673.17,674.66,417413,674.66,alpha_vantage
2023-03-06,688.35,698.79,687.56,688.39,543333,688.39,alpha_vantage
2023-03-03,693.61,695.34,688.06,695.24,812287,695.24,alpha_vantage
2023-03-02,673.0,687.4,672.76,685.91,490162,685.91,alpha_vantage
2023-03-01,683.15,688.26,675.33,680.56,635035,680.56,alpha_vantage
2023-02-28,685.5,694.375,683.125,689.43,859144,689.43,alpha_vantage
2023-02-27,694.88,696.5,681.7,683.06,560032,683.06,alpha_vantage
2023-02-24,682.57,691.275,678.58,683.43,553570,683.43,alpha_vantage
2023-02-23,697.27,702.14,686.4707,691.84,614780,691.84,alpha_vantage
2023-02-22,695.75,699.05,682.08,687.41,937876,687.41,alpha_vantage
